,diarization error rate,total,correct,correct,false alarm,false alarm,missed detection,missed detection,confusion,confusion
,%,,,%,,%,,%,,%
item,,,,,,,,,,
09-205__FREE.txt,11.650111909971988,82.93809599999999,75.79087999999999,91.38246916109577,2.5151650000000076,3.0325810710677614,2.9132609999999985,3.512572798873993,4.233954999999995,5.104958040030236
24-004__FREE.txt,13.559885260231846,60.390570000000004,52.44333900000001,86.84027820899853,0.2416609999999999,0.400163469230378,7.947230999999996,13.159721791001468,0.0,0.0
19-049__FREE.txt,10.54997594109875,53.977942999999996,49.115339999999996,90.99149999102411,0.8320570000000007,1.5414759321228686,4.279999999999998,7.929164696031485,0.5826029999999989,1.0793353129443983
09-245__FREE.txt,3.8409027493454992,84.665096,83.135096,98.19287986161382,1.7219040000000052,2.0337826109593085,1.5300000000000011,1.8071201383861906,0.0,0.0
24-005__FREE.txt,23.683303003528312,57.029161,44.291386,77.66445310321153,0.7686140000000012,1.3477561067398505,12.737774999999996,22.335546896788458,0.0,0.0
24-008__FREE.txt,1.4337614573662383,169.61315199999999,167.563152,98.79136731095005,0.3818480000000193,0.2251287683162797,2.0499999999999936,1.2086326890499588,0.0,0.0
09-153__FREE.txt,1.8147516133386858,131.68468799999997,130.63573099999996,99.2034328243235,1.3407930000000103,1.0181844376621911,0.9134809999999929,0.693688092270829,0.13547600000001125,0.10287908340566619
09-186__FREE.txt,8.567167791775777,114.497489,105.24678399999998,91.92060447718637,0.5584869999999942,0.4877722689621553,5.3659760000000185,4.68654469793658,3.884729,3.3928508248770415
09-191__FREE.txt,34.222053079646706,38.129568000000006,26.58157700000001,69.71381632228302,1.5007299999999928,3.9358694019297373,10.734297999999994,28.152162647108913,0.8136930000000007,2.1340210306080585
19-007__FREE.txt,2.4238168330079897,61.779297,61.07094,98.85340715353236,0.7890599999999974,1.2772239865403414,0.7083570000000023,1.146592846467648,0.0,0.0
09-143__FREE.txt,18.89465341764045,64.14690300000001,53.953284,84.10894599229519,1.926715999999999,3.0035994099356578,10.193619000000005,15.89105400770479,0.0,0.0
09-040__FREE.txt,3.196998304764629,77.022343,75.28036500000002,97.73834717024904,0.7204250000000019,0.9353454750136617,1.3727680000000007,1.7822984169671396,0.3692099999999954,0.47935441278382734
09-031__FREE.txt,21.72898497377115,56.547455,46.307421999999995,81.89125752874288,2.0471549999999965,3.620242502514033,9.461610000000004,16.732158856662963,0.7784230000000036,1.3765836145941557
09-033__FREE.txt,28.25180565607186,61.102583,43.839999999999996,71.74819434392815,0.0,0.0,17.262583000000003,28.251805656071856,0.0,0.0
09-008__FREE.txt,9.463655626428274,38.853992000000005,37.373992,96.19086759476349,2.197007999999995,5.654523221191775,1.4799999999999964,3.8091324052364968,0.0,0.0
09-105__FREE.txt,5.890942749815404,68.209422,65.565622,96.12399589018655,1.3743779999999974,2.0149386400019598,2.643799999999996,3.8760041098134446,0.0,0.0
19-048__FREE.txt,23.832356733826714,67.432282,51.85078999999998,76.89312664815344,0.4892100000000035,0.7254833819801672,15.581492000000015,23.106873351846545,0.0,0.0
TOTAL,10.665948256519366,1288.02004,1170.0457,90.84064406327093,19.405211000000023,1.5065923197903055,107.17625100000001,8.321008033384325,10.798089000000004,0.838347903344734
