,diarization error rate,total,correct,correct,false alarm,false alarm,missed detection,missed detection,confusion,confusion
,%,,,%,,%,,%,,%
item,,,,,,,,,,
UCSF__12029_03-14-24__PictureDescription.txt,69.66952902550992,68.83599999999998,20.998631999999997,30.505305363472605,0.12034900000000334,0.17483438898251405,39.597463999999995,57.524353535940506,8.239903999999996,11.970341100586898
UCSF__35138_01-31-25__PictureDescription.txt,10.086434028712802,378.786,345.0899999999999,91.10421187689089,4.509999999999965,1.1906459056036827,1.3999999964653398e-05,3.696018322919379e-06,33.69598600000015,8.895784427090797
UCSF__35066_02-01-24__PictureDescription.txt,44.22911162797504,68.361,38.82553699999998,56.794864030660726,0.7000000000000028,1.023975658635776,19.265423000000013,28.181891721888228,10.270040000000002,15.023244247451032
UCSF__33237_09-09-24__PictureDescription.txt,14.28571495152872,171.648,147.126861,85.7142879614094,5.000000015797923e-06,2.9129381150948003e-06,4.359315000000008,2.5396829558165592,20.16182399999999,11.746029082774042
UCSF__35416_12-09-24__PictureDescription.txt,20.318945574089852,8.213,6.544205,79.68105442591015,0.0,0.0,1.6687949999999994,20.318945574089852,0.0,0.0
UCSF__33892_01-22-25__PictureDescription.txt,3.791311590030419,97.25599999999999,93.59407900000001,96.23476083737766,0.02535699999999963,0.026072427408077276,3.661920999999984,3.7652391626223416,0.0,0.0
UCSF__34302_04-09-24__PictureDescription.txt,11.417593595249986,82.189,72.80499399999998,88.58240640475,0.0,0.0,9.38400600000001,11.417593595249985,0.0,0.0
UCSF__33362_04-03-24__PictureDescription.txt,25.599290409373854,143.463,106.98953099999997,74.57639321636935,0.25204100000000007,0.17568362574322305,12.882516999999998,8.979679081017403,23.590952000000016,16.44392770261323
UCSF__33637_02-09-24__PictureDescription.txt,0.05921755984345931,81.003,80.955032,99.94078244015654,0.0,0.0,0.047967999999997346,0.05921755984345931,0.0,0.0
UCSF__34785_03-14-24__PictureDescription.txt,17.342552725354242,223.65899999999996,188.81442399999997,84.42066896480803,3.9436040000000383,1.7632216901622735,9.354326000000016,4.182405358156845,25.490249999999975,11.396925677035119
UCSF__24537_03-19-24__PictureDescription.txt,10.727141828653703,138.9,125.90000000000002,90.6407487401008,1.8999999999999984,1.3678905687544984,0.3310990000000231,0.2383722102231988,12.668900999999973,9.120879049676006
UCSF__35173_01-17-25__PictureDescription.txt,8.280430820605082,255.14100000000002,240.46511799999996,94.24793271171625,6.450891999999946,2.5283635323213227,14.675882000000064,5.752067288283757,0.0,0.0
UCSF__8590_03-15-24__PictureDescription.txt,29.910981264160597,142.56099999999998,101.529606,71.21835985998977,1.6100000000000056,1.129341124150368,3.966920999999971,2.782613056866865,37.06447300000001,25.999027083143364
UCSF__33723_08-01-24__PictureDescription.txt,15.827705130224256,406.376,343.19046699999996,84.45146047010651,1.1344619999999979,0.2791656003307277,4.108956000000006,1.0111217197866031,59.07657700000011,14.537417810106923
UCSF__24651_01-24-25__PictureDescription.txt,37.49247258263529,130.48299999999998,81.56169700000001,62.507527417364734,0.0,0.0,42.41779699999999,32.508293800725,6.503505999999997,4.984178781910286
UCSF__34682_10-15-24__PictureDescription.txt,28.88444846796656,35.9,27.400000000000006,76.3231197771588,1.8695170000000019,5.207568245125354,0.0,0.0,8.499999999999993,23.67688022284121
UCSF__34445_06-28-24__PictureDescription.txt,26.90310573341955,285.9550000000001,215.4337130000001,75.3383270094945,6.409488999999937,2.241432742914072,70.52128699999997,24.661672990505483,0.0,0.0
UCSF__33362_09-11-24__PictureDescription.txt,66.84149698429947,190.503,63.694867999999985,33.43509970971586,0.5269250000000001,0.2765966940153174,110.776578,58.1495189052141,16.031554,8.415381385070052
