,diarization error rate,total,correct,correct,false alarm,false alarm,missed detection,missed detection,confusion,confusion
,%,,,%,,%,,%,,%
item,,,,,,,,,,
REDLAT_BE00172_CraftIm.txt,8.249596600508417,22.403350000000003,20.770082,92.70971528811538,0.2149179999999955,0.9593118886237794,1.6332680000000068,7.2902847118846354,0.0,0.0
REDLAT_BE00131_CraftIm.txt,37.27820124844288,7.245025,4.624105,63.824555470823086,0.079895,1.102756719265979,1.8909199999999986,26.099564873827195,0.7300000000000004,10.075879655349711
REDLAT_BE00216_CraftIm.txt,100.48667659855433,2.3627599999999993,2.0352489999999994,86.13862601364507,2.0467480000000013,86.62530261219938,0.047508000000000106,2.010699351605754,0.2800029999999998,11.850674634749186
REDLAT_BE00132_CraftIm.txt,13.872284027664827,21.132533000000002,18.404484000000004,87.09076190724511,0.20351600000000067,0.9630459349099355,2.7280489999999986,12.909238092754892,0.0,0.0
REDLAT_BE00164_CraftIm.txt,27.771021507947673,16.978467999999992,12.36318699999999,72.8168583879299,0.09981300000000637,0.5878798958775693,3.2052809999999994,18.87850541049994,1.410000000000005,8.304636201570164
REDLAT_BE00183_CraftIm.txt,6.516570204621322,23.211029,22.055232999999994,95.02048788961487,0.3567670000000067,1.5370580942361785,1.1557960000000076,4.979512110385143,0.0,0.0
REDLAT_BE00179_CraftIm.txt,59.62715934334781,35.618004000000006,14.396999999999998,40.42056932780398,0.016999999999995907,0.047728671151802626,10.779004000000011,30.262796309417027,10.441999999999993,29.31663436277898
REDLAT_BE00187_CraftIm.txt,25.095830042737965,17.244853,15.068138000000001,87.37759608620614,2.151024,12.473426128944098,0.9238769999999983,5.357407221737398,1.2528380000000006,7.264996692056468
REDLAT_BE00160_CraftIm.txt,37.491579686487604,22.14585,15.312697999999989,69.14477430308608,1.4696770000000043,6.636353989573687,4.651527000000007,21.004057193559998,2.181625000000004,9.85116850335392
REDLAT_BE00134_CraftIm.txt,34.64058733273752,13.912113999999999,9.709113999999998,69.78891921098402,0.616238000000001,4.429506543721543,0.5893519999999981,4.236250508010487,3.613648000000003,25.974830281005485
REDLAT_BE00149_CraftIm.txt,38.1155376283691,8.448001,5.653000000000002,66.91523829128337,0.425,5.030775919652472,2.7950009999999974,33.08476170871663,0.0,0.0
REDLAT_BE00161_CraftIm.txt,20.443545794763164,22.087459999999997,17.572000000000003,79.55645420523685,0.0,0.0,4.515459999999996,20.443545794763164,0.0,0.0
REDLAT_BE00145_CraftIm.txt,38.225370482835835,26.100196999999998,16.23715,62.210833121297895,0.11385,0.436203604133716,9.235047000000005,35.38305477157895,0.627999999999997,2.406112107123165
TOTAL,30.341478511307944,238.889644,174.20144,72.92130252410607,7.794446000000011,3.262781035413997,44.150090000000034,18.481374604920102,20.538114000000004,8.597322870973848
