,diarization error rate,total,correct,correct,false alarm,false alarm,missed detection,missed detection,confusion,confusion
,%,,,%,,%,,%,,%
item,,,,,,,,,,
REDLAT_BN00142_CraftIm.txt,33.16099431411153,24.170189000000008,17.281056999999997,71.49740119946928,1.1259430000000001,4.658395513580799,6.8891320000000125,28.502598800530727,0.0,0.0
REDLAT_BN00162_CraftDe.txt,5.597057390271959,23.469778999999996,22.793581000000003,97.11885655165312,0.6374190000000002,2.7159139419250615,0.6761979999999959,2.8811434483468976,0.0,0.0
REDLAT_BN00049_CraftIm.txt,20.08866713634697,34.106887,28.492133999999997,83.5377734707949,1.2368659999999938,3.6264406071418764,5.139753000000002,15.069545924845038,0.4750000000000014,1.3926806043600561
REDLAT_BN00148_Phonological2.txt,37.98306043548072,34.31894599999999,25.598780000000005,74.59081056859966,4.315220000000006,12.573871004080392,6.597165999999971,19.223102014846184,2.1230000000000118,6.1860874165541455
REDLAT_BN00105_CraftDe.txt,17.870185505943333,27.983469999999997,23.383885999999997,83.56321070975115,0.40111400000000064,1.433396215694482,2.7995839999999994,10.004420466797004,1.8000000000000007,6.4323688234518475
REDLAT_BN00115_Semantic.txt,29.16298951580784,41.45193000000001,30.166154000000006,72.77382259402637,0.8028460000000024,1.9368121098342157,11.234776000000004,27.10314332770513,0.05100000000000193,0.12303407826849538
REDLAT_BN00112_Semantic.txt,49.17017462260234,32.940123,18.358076999999998,55.73165892549945,1.6146699999999958,4.901833548101797,7.221793,21.924001315963515,7.360253,22.34433975853703
REDLAT_BN00093_Phonological2.txt,57.849803690499435,17.117358,7.214999999999998,42.15019630950056,0.0,0.0,7.542358000000001,44.06262929127265,2.3599999999999994,13.787174399226794
REDLAT_BN00165_Fugu.txt,6.912921753622182,65.708179,62.026911999999996,94.39755133071027,0.861087999999989,1.3104730843324526,3.6812670000000134,5.602448669289729,0.0,0.0
REDLAT_BN00145_Semantic.txt,78.04859913911464,27.221510999999992,6.716838,24.67474344095007,0.7413350000000002,2.7233425800647155,9.068846,33.31499856859527,11.435826999999993,42.01025799045467
REDLAT_BN00129_Phonological2.txt,70.21150635713241,34.115854000000006,12.792623999999996,37.497592761418176,2.6300250000000007,7.709099118550572,12.107879000000008,35.4904760701579,9.215351000000005,27.011931168423935
REDLAT_BN00114_Fugu.txt,9.432013808902497,53.977932,49.594363,91.87896083162282,0.7076369999999983,1.3109746405253138,4.383569000000001,8.121039168377182,0.0,0.0
REDLAT_BN00049_Semantic2.txt,73.58675742120828,52.37849900000001,15.814514999999998,30.192760964761504,1.9796549999999993,3.7795183859697827,12.828153999999996,24.491259285608763,23.735830000000014,45.315979749629726
REDLAT_BN00162_Semantic.txt,6.169927543012454,61.717304999999996,59.159696000000004,95.85592890033031,1.2503040000000065,2.0258564433427653,2.557608999999996,4.14407109966969,0.0,0.0
REDLAT_BN00115_CraftDe.txt,13.158341079233582,17.92346,15.839015,88.37029792238776,0.2739849999999988,1.5286390016213323,2.0844450000000005,11.62970207761225,0.0,0.0
REDLAT_BN00113_Phonological2.txt,31.53238592271126,25.460414,18.079568999999992,71.01050674195632,0.6474310000000003,2.5428926646675905,6.667845000000005,26.189067467638214,0.713000000000001,2.8004257904054546
REDLAT_BN00142_Semantic2.txt,47.36985335749419,21.764699,14.141437999999997,64.97419514048873,2.6866450000000057,12.344048497982929,3.331344000000002,15.30617997519746,4.291916999999998,19.719624884313806
REDLAT_BN00111_Semantic2.txt,38.10229917252238,37.56947300000001,23.86339999999999,63.51805893045129,0.6087600000000016,1.6203581029736602,11.07923300000002,29.489987788756093,2.6268400000000014,6.991953280792629
REDLAT_BN00116_Phonological2.txt,77.13150899025068,22.321569,6.206104999999999,27.803175484662386,1.1014990000000031,4.934684474913046,6.737068000000006,30.181874759789537,9.378395999999995,42.01494975554808
REDLAT_BN00102_Fugu.txt,21.76090745843937,55.90135899999997,44.73785800000002,80.03000070177191,1.0011420000000015,1.7909081602112786,11.16350099999996,19.969999298228092,0.0,0.0
REDLAT_BN00141_Fugu.txt,23.248225524653314,53.685163999999986,41.400158000000005,77.11657172175168,0.19584200000000251,0.36479724640498923,12.285005999999985,22.88342827824832,0.0,0.0
REDLAT_BN00146_Phonological2.txt,49.093674854076355,28.9021,15.758922000000005,54.52517983122335,1.045925000000005,3.6188546852997017,7.876024999999994,27.25070150611891,5.267153000000003,18.22411866265774
REDLAT_BN00040_Phonological.txt,59.86249899379384,16.621842,7.342796,44.17558535329598,0.6712040000000026,4.038084347089827,4.254046000000002,25.593108152514038,5.024999999999997,30.231306494189973
REDLAT_BN00170_CraftDe.txt,6.80897453195886,22.560196000000005,21.980039,97.42840443407493,0.9559609999999983,4.237378966033797,0.5801570000000034,2.571595565925062,0.0,0.0
REDLAT_BN00152_Fugu.txt,15.580571108102134,77.782367,67.739715,87.08878067441688,2.0762849999999835,2.669351782519017,10.042651999999983,12.911219325583115,0.0,0.0
REDLAT_BN00113_Semantic2.txt,55.20215001654458,25.376920999999996,16.584282999999992,65.35183287208088,5.215967999999998,20.553982888625452,3.8358890000000088,15.11565961843838,4.956748999999995,19.532507509480745
REDLAT_BN00115_Fugu.txt,20.965707359045417,101.115601,80.10300000000001,79.2192294836877,0.187,0.1849368427331011,21.012601,20.780770516312316,0.0,0.0
REDLAT_BN00040_Semantic.txt,12.41354589247534,41.754088999999986,38.59196299999999,92.42678723034767,2.021037000000005,4.840333122823027,3.162125999999992,7.573212769652317,0.0,0.0
